,customer_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,quantidade
21346,2126,-23.506858079375625,-46.59162343505108,sao paulo,SP,1
21369,2127,-23.50238052178431,-46.582730947544576,sao paulo,SP,3
21414,2128,-23.50399490536093,-46.5946382411853,sao paulo,SP,6
21437,2129,-23.50521569969416,-46.58945986733221,sao paulo,SP,2
21462,2130,-23.508100938657773,-46.58282425353455,são paulo,SP,5
21511,2131,-23.50281070858096,-46.581761933117846,sao paulo,SP,7
21569,2132,-23.49833145406544,-46.58041450069248,sao paulo,SP,3
21616,2133,-23.500291464048765,-46.585615159039705,sao paulo,SP,2
21650,2134,-23.499318080212344,-46.578124372468125,sao paulo,SP,4
21683,2135,-23.498807971146547,-46.573631134485446,sao paulo,SP,5
21716,2136,-23.4982544454671,-46.57847265889549,são paulo,SP,6
21741,2137,-23.50176923397196,-46.57187320760001,sao paulo,SP,2
21748,2138,-23.49565160199666,-46.57582722508515,sao paulo,SP,5
21779,2139,-23.494134939494487,-46.57343969969415,são paulo,SP,3
21793,2140,,,,,1
21794,2141,-23.489125655104345,-46.57563101727822,são paulo,SP,3
21830,2143,-23.50799229892086,-46.57521706910386,sao paulo,SP,2
21857,2150,-23.495750203445063,-46.56850788842403,sao paulo,SP,1
21872,2152,-23.498158714409342,-46.573211734116185,são paulo,SP,1
21884,2161,-23.491262189566605,-46.57078597807146,são paulo,SP,4
21929,2166,-23.525060091869104,-46.583738219401,sao paulo,SP,1
21946,2167,-23.522903946448046,-46.58180409758191,sao paulo,SP,3
22013,2168,-23.520174883432382,-46.57883175284207,são paulo,SP,1
22023,2169,-23.51932718168024,-46.57580722635043,sao paulo,SP,3
22068,2174,-23.523062564007805,-46.57189679679223,sao paulo,SP,1
22088,2175,-23.516718741284578,-46.57445726194335,sao paulo,SP,1
22092,2176,-23.51226784347044,-46.5737047327312,sao paulo,SP,1
22113,2177,-23.511112774078125,-46.56976216763806,sao paulo,SP,5
22123,2178,-23.519838404668437,-46.57027290507246,são paulo,SP,7
22151,2179,-23.51950161226844,-46.567310496104845,sao paulo,SP,5
22193,2180,-23.51997318512321,-46.5659400380287,sao paulo,SP,1
22225,2181,-23.52093290536093,-46.56270976672054,são paulo,SP,2
22254,2185,-23.512283612268444,-46.56782303996194,sao paulo,SP,9
22305,2186,-23.51335483236194,-46.56877347114656,sao paulo,SP,4
22346,2187,-23.515125715794323,-46.56489950138496,sao paulo,SP,1
22361,2188,-23.507509473772288,-46.56565713558197,sao paulo,SP,2
22377,2189,-23.507621497085808,-46.56616243450284,são paulo,SP,1
22391,2190,-23.5099120335853,-46.56318688703905,sao paulo,SP,2
22413,2201,-23.48564922814357,-46.59218589286744,são paulo,SP,5
22475,2202,-23.493126080212345,-46.59436597807144,sao paulo,SP,5
22507,2203,-23.491692314184306,-46.59024532431184,sao paulo,SP,3
22539,2204,-23.483740588954927,-46.5898570932541,sao paulo,SP,4
22579,2205,-23.489101697472453,-46.58859076977895,sao paulo,SP,1
22609,2206,-23.487076247013697,-46.589872683594,são paulo,SP,5
22643,2207,-23.485869985284825,-46.59066163474524,sao paulo,SP,2
22655,2208,-23.48101574715792,-46.58546644517863,sao paulo,SP,1
22689,2209,-23.485064826913263,-46.58236126674555,sao paulo,SP,8
22743,2210,-23.48653952622772,-46.57926775506377,sao paulo,SP,6
22798,2212,-23.494525155981307,-46.58841008381904,sao paulo,SP,4
22815,2213,-23.49287325284208,-46.58454115751052,sao paulo,SP,1
22833,2214,-23.49363686955392,-46.58577018151652,são paulo,SP,2
22857,2215,-23.491089052455425,-46.5850818805182,sao paulo,SP,5
22899,2216,-23.494534007655435,-46.5778358295101,sao paulo,SP,1
22921,2217,-23.490335892030725,-46.58028421051419,são paulo,SP,5
22964,2218,-23.486735252842077,-46.58408012476191,sao paulo,SP,3
22991,2219,-23.487935688874103,-46.5808627924,sao paulo,SP,4
23046,2220,-23.490745910352587,-46.57794383819032,sao paulo,SP,7
23112,2221,-23.481978422701832,-46.58058753344108,sao paulo,SP,1
23149,2222,-23.48463030030584,-46.57788816694557,sao paulo,SP,3
23185,2223,-23.47872104025041,-46.58108916028048,sao paulo,SP,7
23248,2224,-23.481351072998997,-46.567048185815686,sao paulo,SP,3
23283,2225,-23.480339500692484,-46.57586314071786,sao paulo,SP,5
23339,2226,-23.484632448237065,-46.57191858451151,sao paulo,SP,8
23402,2227,-23.483253583126537,-46.569258712187626,sao paulo,SP,6
23472,2228,-23.480055932281125,-46.569816911189314,sao paulo,SP,4
23501,2229,-23.47929118373822,-46.56787618526742,sao paulo,SP,6
23551,2230,-23.48274827338563,-46.56490113044606,sao paulo,SP,7
23596,2231,-23.47785620260835,-46.56407653052688,são paulo,SP,1
23614,2232,-23.476190144324534,-46.56109123841534,sao paulo,SP,2
23639,2233,-23.47538490091753,-46.564339557591325,sao paulo,SP,2
23665,2234,-23.476274393968733,-46.56835100557099,são paulo,SP,3
23713,2235,-23.479438693865774,-46.5790147857349,sao paulo,SP,5
